n,cond,rank,val
2,19.28147006790397,2,5.661048867003676e-16
3,524.0567775860644,3,8.022593772267726e-15
4,15513.73873892924,4,4.4515459601812086e-13
5,476607.25024259434,5,1.6828426299227195e-12
6,1.4951058642254665e7,6,2.618913302311624e-10
7,4.75367356583129e8,7,1.2606867224171548e-8
8,1.5257575538060041e10,8,1.9003267931522502e-7
9,4.931537564468762e11,9,1.072517737563097e-5
10,1.6024416992541715e13,10,0.00015601223234378126
11,5.222677939280335e14,10,0.006132597501362619
12,1.7514731907091464e16,11,0.2625249535369144
13,3.344143497338461e18,11,3.2730305773781527
14,6.200786263161444e17,11,1.7495323143027766
15,3.674392953467974e17,12,4.1912370309692895
16,7.865467778431645e17,12,25.686453221698734
17,1.263684342666052e18,12,3.0657949207071473
18,2.2446309929189128e18,12,4.185151825134459
19,6.471953976541591e18,13,6.899020791086356
20,1.3553657908688225e18,13,26.842489432946138
21,3.290126328601399e18,13,6.9043916113228425
22,1.0361032753348465e19,13,7.4924154604655575
23,6.313778670724671e17,13,8.471075526243837
24,2.129502667338134e18,13,98.34352635694334
25,1.3719347461445998e18,13,12.846254107361691
26,5.838636705219328e18,14,28.41382203596652
27,4.424587877361583e18,14,30.13996618025699
28,9.235324245161374e18,14,15.905168194843549
29,8.05926200352767e18,14,299.5315582325362
30,5.507991645999902e18,14,49.40864890889737
31,2.3508867005384925e19,14,12.94964868410062
32,4.651068176216694e18,14,10.997171241510001
33,1.2131406082348128e19,14,36.57983826120465
34,4.5616405243414067e18,14,127.81296546825526
35,2.6087455171093307e19,14,30.717841445345766
36,4.467552764961839e18,15,44.25598727444102
37,6.763982849658887e18,15,91.35867845428301
38,2.5799096742390997e19,15,20.735469961824794
39,9.520296177201873e18,15,188.38797573515703
40,6.507249058549335e18,15,41.23475624960689
41,1.1216722118346185e19,15,43.31483456571188
42,2.672423916643256e19,15,183.5052001092518
43,3.895762014266483e19,15,49.5621109674247
44,4.377574261588784e19,15,19.345726038770415
45,1.1740913241980596e19,15,46.63776005192658
46,2.394794042936751e19,15,26.659152100163077
47,1.2561317401570136e19,15,52.003119705551015
48,6.715716325530528e18,15,156.83584676228938
49,6.148071066691518e18,16,35.73432466638007
50,2.3125456566766473e19,16,49.17758195799673
