k,P,p,diff
1,1.810441792686032e-9,1.9903054634328896e18,0.950639027336251
2,1.810441792686032e-9,1.9903054634328896e18,1.950638314317964
3,5.2738380570532775e-9,1.9603045451252319e18,2.947270170915779
4,5.2738380570532775e-9,1.9603045451252319e18,3.9472683968141467
5,2.1833150474298537e-8,1.8986230967648804e18,4.940261103267425
6,2.1833150474298537e-8,1.8986230967648804e18,5.94025845619948
7,1.1060473806865536e-7,1.7942764158130138e18,6.928470995087672
8,1.1060473806865536e-7,1.7942764158130138e18,7.928467948875542
9,6.147094764624633e-7,1.635099126269708e18,8.910966172995028
10,6.147094764624633e-7,1.635099126269708e18,9.910963513277059
11,3.294359732426998e-6,1.4150728707341862e18,10.887890388233775
12,3.294359732426998e-6,1.4150728707341862e18,11.887888943720807
13,1.5599974479103758e-5,1.1467631332545471e18,12.860995611574912
14,1.5599974479103758e-5,1.1467631332545471e18,13.860995445079546
15,6.359660288768332e-5,8.711755039228508e17,14.832765543928463
16,0.0002468752348492309,5.532738743218158e17,15.800030116128744
17,0.001292543281409042,6.975238303156173e16,16.74999929277055
18,0.008870981937623812,7.081833742276362e17,17.66666667148003
19,0.286276201356511,2.000828411463103e18,18.500000000012154
20,3744.9845589677943,634368.0,18.999999999999964
